id,page,bbox,text length,text
0,page 0 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3937072753906, 378.5867919921875, 468.9228210449219, 406.2035827636719)",7,SUSTAINABILITY REPORT 2020 ROYAL DUTCH SHELL PLC 
1,page 0 of ../pdf/shell-sustainability-report-2020.pdf,"(308.1900939941406, 281.4079895019531, 575.8053588867188, 379.02899169921875)",2,RESPONSIBLE  ENERGY 
2,page 0 of ../pdf/shell-sustainability-report-2020.pdf,"(-22.287899017333984, 60.220703125, -10.199898719787598, 761.735107421875)",7,SUSTAINABILITY REPORT 2020 ROYAL DUTCH SHELL PLC 
3,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(69.92549896240234, 121.96307373046875, 224.40155029296875, 166.8862762451172)",12,"Our strategy to accelerate the  transition to net-zero emissions,  purposefully and profitably "
4,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(69.92539978027344, 73.9076156616211, 188.8654022216797, 124.02761840820312)",2,POWERING  PROGRESS 
5,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(69.92539978027344, 585.9007568359375, 202.02288818359375, 649.539794921875)",10,UNDERPINNED BY   OUR CORE VALUES   AND OUR FOCUS   ON SAFETY 
6,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(69.92539978027344, 688.4566650390625, 317.6270446777344, 712.4146728515625)",28,COVER IMAGES The images on the front cover represent the four goals of Shell’s Powering Progress strategy:  achieving net-zero emissions; powering lives; respecting nature; and generating shareholder value. 
7,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(69.92539978027344, 716.2907104492188, 315.0943603515625, 739.9127197265625)",37,"Powering Progress is designed to create value for shareholders, customers and wider society. The  strategy seeks to accelerate Shell’s transformation into a provider of net-zero emissions energy  products and services, powered by growth in its customer-facing businesses. "
8,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(252.6295928955078, 340.39080810546875, 347.9255676269531, 371.8868103027344)",10,Growing value through  a dynamic portfolio and  disciplined capital allocation 
9,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(252.1175994873047, 635.3268432617188, 361.7760009765625, 666.8228149414062)",14,Working with our customers and  sectors to accelerate the energy  transition to net-zero emissions 
10,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(92.10961151123047, 457.518798828125, 186.242431640625, 499.0148010253906)",12,"Protecting the environment,  reducing waste and making  a positive contribution to  biodiversity "
11,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(425.86962890625, 457.4307861328125, 527.0648193359375, 488.9267883300781)",12,"Powering lives through our  products and activities, and  supporting an inclusive society "
12,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(69.92539978027344, 766.5066528320312, 242.51846313476562, 777.8391723632812)",5,ii Shell Sustainability Report 2020 
13,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 93.59577941894531, 170.59300231933594, 123.45578002929688)",1,CONTENTS 
14,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 140.86981201171875, 197.33399963378906, 185.21377563476562)",19,02 Letter from the CEO 04 Our approach to sustainability 12 Shell's response to COVID-19 14 About this report 
15,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 223.05377197265625, 204.718017578125, 245.79776000976562)",7,18 Business ethics and transparency 23 Safety 
16,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 283.63775634765625, 207.90199279785156, 357.68170166015625)",24,32 Our climate target 37 Managing greenhouse gas emissions 45 Producing natural gas responsibly 47 Providing lower-carbon electricity 50 Fuelling mobility 53 Driving innovation 
17,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(225.82699584960938, 140.86968994140625, 376.3399658203125, 228.41360473632812)",28,55 Our approach to the environment 55 Protecting biodiversity 58 Conserving water resources 60 Decommissioning and restoration 61 Managing waste 61 Plastics 62 Air emissions 63 The Arctic 
18,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(225.82701110839844, 257.25360107421875, 375.7400817871094, 323.1975402832031)",29,65 Providing access to energy 66 Working with our suppliers 69 Contributing to communities 74 Advancing diversity and inclusion 76 Respecting human rights 78 Managing our impact on people 
19,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(394.96099853515625, 149.86956787109375, 509.7619934082031, 183.41354370117188)",10,82 Our business activities 84 Non-operated ventures 84 Divesting responsibly 
20,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(394.96099853515625, 212.2535400390625, 546.6820068359375, 288.9974670410156)",32,86 About our data 87 Our standards and policies 88 Our Powering Progress targets 89 Safety performance data 90 Greenhouse gas and energy data 95 Other environmental data 97 Social performance data 
21,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69298553466797, 130.11846923828125, 201.114990234375, 142.06246948242188)",4,SUSTAINABILITY AT SHELL 01 
22,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69298553466797, 203.302490234375, 182.82699584960938, 224.24649047851562)",6,LIVING BY OUR CORE VALUES 17 
23,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69298553466797, 263.886474609375, 185.2909698486328, 284.8304748535156)",4,ACHIEVING NET-ZERO EMISSIONS 31 
24,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(225.82598876953125, 130.11846923828125, 349.8880615234375, 142.06246948242188)",3,RESPECTING NATURE 54 
25,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(225.82598876953125, 246.50250244140625, 335.75201416015625, 258.4465026855469)",3,POWERING LIVES 64 
26,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(394.9590148925781, 130.11846923828125, 552.1571044921875, 151.06246948242188)",4,GENERATING SHAREHOLDER VALUE 81 
27,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(394.9590148925781, 201.50250244140625, 541.7650146484375, 213.44650268554688)",4,OUR PERFORMANCE DATA 85 
28,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.691009521484375, 398.69549560546875, 212.63706970214844, 485.646484375)",60,"Digital The Sustainability Report is published in an online version at reports.shell.com. The online version includes additional information, such as an interactive GRI index to enhance usability for the reader. In the event of any discrepancy between the online and hardcopy versions, the information contained in the online report prevails. This hardcopy version is provided for the reader’s convenience only. "
29,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69101333618164, 492.19549560546875, 213.09213256835938, 596.1465454101562)",90,"Scenarios This report contains data and analysis from Shell’s Sky 1.5 scenario. Shell scenarios are not intended to be projections or forecasts of the future. Shell scenarios, including the scenarios contained in the report, are not Shell’s strategy or business plan. When developing Shell’s strategy, our scenarios are one of many variables that we consider. Ultimately, whether society meets its goals to decarbonise is not within Shell’s control. While we intend to travel this journey in step with society, only governments can create the framework for success. The Sky 1.5 "
30,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(225.82501220703125, 399.0874938964844, 383.1081237792969, 596.1465454101562)",179,"scenario starts with data from Shell’s Sky scenario, but there are important updates. First, the outlook uses the most recent modelling for the impact of and recovery from COVID-19 consistent with a Sky 1.5 scenario narrative. Second, it blends this projection into existing Sky (2018) energy system data by around 2030. Third, the extensive scale-up of nature-based solutions is brought into the core scenario, which benefits from extensive new modelling of that scale-up. In 2018, nature-based solutions required to achieve 1.5 degrees Celsius (1.5°C) above pre-industrial levels by the end of this century were analysed as a sensitivity to Sky. This analysis was also reviewed and included in the IPCC Special Report on Global Warming of 1.5°C. Fourth, our new oil and natural gas supply modelling, with an outlook consistent with the Sky 1.5 narrative and demand, is presented for the first time. Fifth, the Sky 1.5 scenario draws on the latest historical data and estimates up to 2020 from various sources, particularly the extensive International Energy Agency energy statistics. As with Sky, this scenario assumes that society achieves "
31,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(394.9590148925781, 399.0874938964844, 551.801025390625, 519.6465454101562)",103,"the 1.5°C stretch goal of the Paris Agreement. It is rooted in stretching but realistic development dynamics today but explores a goal-oriented way to achieve that ambition. We worked back in designing how this could occur, considering the realities of the situation today and taking into account realistic timescales for change. Of course, there is a range of possible paths in detail that society could take to achieve this goal. Although achieving the goal of the Paris Agreement and the future depicted in Sky 1.5 while maintaining a growing global economy will be extremely challenging, today it is still a technically possible path. "
32,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(394.9590148925781, 526.195556640625, 542.2040405273438, 570.6465454101562)",29,Imagery Photos used may have been taken prior to imposition of restrictions related to the COVID-19 pandemic and/or reflect the restrictions of the location where the photo was taken. 
33,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(394.9590148925781, 577.5875244140625, 550.5760498046875, 587.6465454101562)",8,Ben van Beurden photographed by David van Dam. 
34,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.691009521484375, 622.9334716796875, 165.78611755371094, 632.9924926757812)",3,Design: Friend www.friendstudio.com 
35,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.691009521484375, 635.4334716796875, 164.13412475585938, 645.4924926757812)",3,Production: nexxar www.nexxar.com 
36,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.691009521484375, 647.9334716796875, 221.7161102294922, 657.9924926757812)",6,Print: Opmeer papier pixels projecten www.opmeerbv.nl 
37,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(246.6120147705078, 622.9334716796875, 422.78094482421875, 641.4924926757812)",12,Read the Shell Sustainability Report online at www.shell.com/sustainabilityreport or download our app: 
38,page 3 of ../pdf/shell-sustainability-report-2020.pdf,"(89.0009994506836, 36.95679473876953, 495.9869384765625, 45.914794921875)",7,1. 2. 3. 4. 5. 6. 7. 
39,page 3 of ../pdf/shell-sustainability-report-2020.pdf,"(53.85894775390625, 474.0827941894531, 357.72906494140625, 566.3378295898438)",3,SUSTAINABILITY AT SHELL 
40,page 3 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 591.788818359375, 253.86305236816406, 656.6888427734375)",24,"Welcome to the Shell Sustainability Report, which covers our social, safety and environmental performance in 2020 and significant events for Shell during the year. "
41,page 3 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 666.788818359375, 249.363037109375, 706.6888427734375)",16,It also sets out our strategy to accelerate the transition of our business to net-zero emissions. 
42,page 3 of ../pdf/shell-sustainability-report-2020.pdf,"(400.5359802246094, 584.671875, 522.5960693359375, 599.6018676757812)",5,Letter from the CEO 02 
43,page 3 of ../pdf/shell-sustainability-report-2020.pdf,"(400.5359802246094, 603.671875, 510.3859558105469, 631.1018676757812)",5,Our approach to sustainability 04 
44,page 3 of ../pdf/shell-sustainability-report-2020.pdf,"(400.5359802246094, 635.171875, 516.0760498046875, 662.6018676757812)",5,Shell's response to COVID-19 12 
45,page 3 of ../pdf/shell-sustainability-report-2020.pdf,"(400.5359802246094, 666.671875, 509.8260192871094, 681.6018676757812)",4,About this report 14 
46,page 3 of ../pdf/shell-sustainability-report-2020.pdf,"(95.5009994506836, 36.95679473876953, 146.968994140625, 53.414794921875)",3,SUSTAINABILITY AT SHELL 
47,page 3 of ../pdf/shell-sustainability-report-2020.pdf,"(162.45999145507812, 37.29279708862305, 261.927001953125, 60.914794921875)",6,OUR CORE VALUES ACHIEVING NET-ZERO EMISSIONS 
48,page 3 of ../pdf/shell-sustainability-report-2020.pdf,"(296.37799072265625, 37.29279708862305, 470.84991455078125, 60.914794921875)",7,RESPECTING NATURE POWERING LIVES GENERATING SHAREHOLDER VALUE 
49,page 3 of ../pdf/shell-sustainability-report-2020.pdf,"(497.25494384765625, 37.29279708862305, 539.9509887695312, 60.914794921875)",3,OUR PERFORMANCE DATA 
50,page 3 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69293212890625, 764.6267700195312, 225.89988708496094, 775.9592895507812)",5,01 Shell Sustainability Report 2020 
51,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 93.59577941894531, 288.6730041503906, 123.45578002929688)",4,LETTER FROM THE CEO 
52,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 297.7327880859375, 285.6929626464844, 329.2287902832031)",35,"The COVID-19 pandemic made 2020 a deeply challenging year. Tragically, it led to the deaths of 20 of our Shell colleagues, painful evidence of the gravity of the situation in many parts of the world. "
53,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 337.7327880859375, 296.44500732421875, 379.2287902832031)",38,"It was a time to pause and reflect on a new reality, and quickly adapt. We saw inspiring action in health care and science. There has been widespread collaboration focused on well-being between medical communities, businesses and governments. "
54,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 387.7327880859375, 296.3970031738281, 479.2287902832031)",94,"We, at Shell, have been playing our part. We took additional steps to make workplaces safe for staff and contractors, and to maintain energy supplies. We increased production of isopropyl alcohol and donated it for hand-sanitising liquid and used our global supply network to source masks and ventilators to address shortages in some communities where we work. We offered free fuel for ambulances and free food and drink in certain countries for emergency workers. We also donated to relief efforts, including $10 million to COVAX, the programme working for equitable access to COVID-19 vaccines. "
55,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 487.7327880859375, 298.06103515625, 529.228759765625)",41,"The pandemic caused severe disruption to the global economy and people’s livelihoods, and along with this came a fall in energy demand and carbon dioxide emissions. It led to a renewed focus on the way society interacts with the natural world. "
56,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 537.7327880859375, 298.22900390625, 569.228759765625)",37,"In 2020, Shell spent a lot of time looking at what we do in society and how we contribute. We refreshed our business strategy and, when we announced it in February 2021, we called it Powering Progress. "
57,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 577.7327880859375, 288.80499267578125, 629.228759765625)",53,"Powering Progress sets out our goals for powering lives and livelihoods, and respecting nature by protecting the environment. It lays out how we believe Shell can and must play a role as the world accelerates towards a future of zero- and lower-carbon energy. It is designed to integrate sustainability with our business strategy. "
58,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 637.2847900390625, 298.8130187988281, 689.228759765625)",50,"NET-ZERO EMISSIONS ENERGY BUSINESS We have set a target to transform into a net-zero emissions energy business by 2050, in step with society. This supports the more ambitious goal to tackle climate change in the UN Paris Agreement: to limit the rise in average global temperature to 1.5 degrees Celsius. "
59,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 697.7327880859375, 295.7890625, 749.228759765625)",49,"Becoming a net-zero emissions energy business means that we are reducing emissions from our operations, and from the fuels and other energy products we sell to our customers. It also means capturing and storing emissions safely underground using technology or balancing them with natural carbon sinks such as forests. "
60,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 297.7327880859375, 551.6738891601562, 369.2287902832031)",69,"We have set short-, medium- and long-term targets to reduce the carbon intensity of the energy products we sell, and have tied the short-term targets to our staff incentive structure. This includes lowering emissions from our operations, including the energy consumed in running them. It also includes the emissions from oil and gas that others produce and we then sell in our energy products – an industry- leading approach. "
61,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 377.7327880859375, 549.4899291992188, 409.2287902832031)",34,"And in another first for the industry, we will offer shareholders an advisory vote on our energy transition strategy at our Annual General Meeting. We will do this every three years, starting in 2021. "
62,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 417.7327880859375, 543.98583984375, 449.2287902832031)",34,"More than 90% of Shell’s emissions come from the use of the energy products we sell, so we will help our customers cut their emissions by selling products that have the lowest environmental impact. "
63,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 457.7327880859375, 551.5777587890625, 489.2287902832031)",26,"In 2020, we continued to invest in low- and lower-carbon products that customers are going to need increasingly: biofuels, electric-vehicle charging networks, hydrogen and renewable power. "
64,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 497.7327880859375, 541.1939697265625, 539.228759765625)",33,We will work with customers and sectors to develop cleaner energy alternatives. It will require technologies and fuel solutions as well as government policies and regulations to help customers make lower- carbon choices. 
65,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 547.7327880859375, 551.634033203125, 599.228759765625)",54,"Some sectors will be very hard to decarbonise. Aviation is one. Shell has an extensive aircraft refuelling network. We can work with customers and suppliers to develop a profitable market for sustainable aviation fuel. In 2020, we signed a deal with Amazon Air to supply up to six million gallons of sustainable aviation fuel. "
66,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 607.2847900390625, 539.8900756835938, 659.228759765625)",37,RESPECTING NATURE For many years we have followed guiding principles and standards that seek to protect the environment. Now we are stepping up our environmental ambitions and shaping them to contribute to the UN Sustainable Development Goals. 
67,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 667.7327880859375, 546.5220947265625, 709.228759765625)",43,"For example, we are working to keep waste from our operations to a minimum and run our operations and supply chains so they can contribute to a circular economy. This means designing materials and products that can be more easily reused and recycled. "
68,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 717.7327880859375, 543.6979370117188, 749.228759765625)",34,"We cannot lose focus for a second when trying to protect the environment. We must continue to take action to prevent and deal with oil spills, including work to reduce operational spills. In Nigeria, "
69,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(310.0270080566406, 256.2838134765625, 391.6190490722656, 278.2278137207031)",4,BEN VAN BEURDEN CEO 
70,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(89.00100708007812, 36.95581817626953, 495.9869384765625, 53.414794921875)",10,1. 2. 3. 4. 5. 6. 7. SUSTAINABILITY AT SHELL 
71,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(162.45999145507812, 37.29279708862305, 261.927001953125, 60.914794921875)",6,OUR CORE VALUES ACHIEVING NET-ZERO EMISSIONS 
72,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(296.37799072265625, 37.29279708862305, 470.84991455078125, 60.914794921875)",7,RESPECTING NATURE POWERING LIVES GENERATING SHAREHOLDER VALUE 
73,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(497.25494384765625, 37.29279708862305, 539.9509887695312, 60.914794921875)",3,OUR PERFORMANCE DATA 
74,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69293212890625, 764.6267700195312, 225.89988708496094, 775.9592895507812)",5,02 Shell Sustainability Report 2020 
75,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 96.56377410888672, 288.98101806640625, 118.05977630615234)",18,we also continue to tackle environmental challenges related to spills caused by oil theft and sabotage of pipelines. 
76,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 126.11577606201172, 297.7889709472656, 198.05978393554688)",67,"POWERING LIVES We power millions of lives by providing energy for homes, businesses and transport, for cooking, heating and lighting. We power lives by paying taxes, boosting local economies and developing people. We also do this by helping achieve universal access to clean, affordable energy. Our ambition, by 2030, is to provide reliable electricity to 100 million consumers in emerging markets who do not yet have it. "
77,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 206.56378173828125, 298.50103759765625, 278.0597839355469)",88,"In 2020, the death of George Floyd and its aftermath underscored society’s problem with racism. Shell is part of society, and while we may have made advances in diversity and inclusion over the years, we have to acknowledge that we can do much better. For Shell, for me and the Executive Committee, these events have led us to seek a deeper personal exposure to racial injustice in Shell. We cannot take a stand in society, nor be a force for good, if we do not first fix ourselves. "
78,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 286.56378173828125, 283.7010498046875, 338.0597839355469)",50,"In 2020, we launched a global Diversity and Inclusion Council for Race, which I sponsor. The council aims to build on our actions to advance diversity in our workforce so it better reflects communities where we work and from which we draw talent. We will report publicly on our progress. "
79,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 346.56378173828125, 294.1169738769531, 398.0597839355469)",53,"We are making advances in gender equality. At the end of 2020, the proportion of women in senior leadership positions at Shell was 27.8%, an increase from 26.4% in 2019. We aim to achieve 30% representation of women in these positions by the end of 2021, 35% by 2025 and 40% by 2030. "
80,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 406.11578369140625, 298.5329895019531, 448.0597839355469)",36,"OUR CORE VALUES We must live by our core values of honesty, integrity and respect for people and maintain our focus on safety. This includes our commitment to doing business in an ethical and transparent way. "
81,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 456.56378173828125, 284.02899169921875, 488.0597839355469)",32,"In 2020, we began what will be a multi-year refresh of our safety approach. It places greater emphasis on increasing the chances of people emerging unhurt even if there is an incident. "
82,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 496.56378173828125, 294.4369201660156, 538.0597534179688)",39,"It requires people to be open to learn, both from things that went well and from their mistakes, and to confidently share ideas and concerns with colleagues. We are also adopting a simpler set of industry- standard life-saving rules. "
83,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 546.5637817382812, 296.18902587890625, 588.0597534179688)",45,"In 2020, there were zero fatal accidents in Shell-operated facilities for the first time in our history. Staff demonstrated an extra level of vigilance in a very difficult year. I want this achievement to spur us on so that we keep working hard on safety. "
84,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 596.5637817382812, 282.4449462890625, 618.0597534179688)",19,"Our employees must show absolute integrity every day. They must meet the ethical standards that Shell, and society, expects. "
85,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 96.56377410888672, 552.4100952148438, 148.05978393554688)",59,"We continue to work hard to raise standards in this area, learning from our own experiences and from others. In March 2021, we were pleased that Shell and four former employees were acquitted in a long-running trial in Milan related to a Nigerian oil block called OPL 245. But the case has been a difficult learning experience for us. "
86,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 156.56378173828125, 551.4100341796875, 218.05978393554688)",65,"In 2020, we developed a new decision-making framework to ensure that everyone at Shell continues to make ethical decisions in line with our code of conduct. The framework, which has been externally reviewed, will help staff to think through, in a structured way, the legal, ethical and external consequences of the decisions they face in their daily work. We are launching the framework in 2021. "
87,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 226.56378173828125, 552.281982421875, 298.0597839355469)",78,"And we are being more transparent about what we do and why we do it. In 2019, we were one of the first companies to conduct a review of industry associations to check alignment with our climate policies. In April 2021, we published our third report on this subject. In late 2020, we published our second annual Tax Contribution Report, which sets out the corporate income tax that Shell companies paid in countries and locations around the world. "
88,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 306.56378173828125, 550.2261352539062, 388.0597839355469)",73,"So we are taking action and we are making progress. This Sustainability Report shows how we are achieving this progress. Once again, I would like to thank the members of the independent Report Review Panel, who help us provide balanced, relevant and responsive reporting. We are a founding member of the UN Global Compact and we continue to support its corporate governance principles on human rights, environmental protection, anti-corruption and better labour practices. "
89,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 396.56378173828125, 549.4739990234375, 438.0597839355469)",45,"In 2020, the COVID-19 pandemic changed the world and people’s lives in ways we could never have imagined. It was a tough year for everyone. It was a tough year for Shell, but also a year when we set a clear path for our future. "
90,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 446.56378173828125, 550.697998046875, 518.0597534179688)",78,"We will take firm and transformative steps to address the carbon dioxide emissions from our operations and from the energy products we sell so that we can become a net-zero emissions energy business. We will work with our customers to develop the low-carbon markets of the future. A major reorganisation, which we announced in 2020 and which takes effect from August 2021, will make us more responsive to customers. We shall be a nimbler organisation with lower costs. "
91,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 526.5637817382812, 544.5778198242188, 568.0597534179688)",43,"We will continue to step up in other areas, to respect nature, power lives and livelihoods through our products and activities, and by supporting a more inclusive society. We must remain true to our core values and sustain a relentless focus on safety. "
92,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 576.5637817382812, 550.9140014648438, 598.0597534179688)",19,"By doing all this, we can deliver positive change for our customers, our communities, our investors and for society. "
93,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 606.5637817382812, 388.7139587402344, 628.0597534179688)",11,Ben v Ben van Beur an Beurden den Chief Executive Officer 
94,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(89.00100708007812, 36.95679473876953, 495.9869384765625, 53.414794921875)",10,1. 2. 3. 4. 5. 6. 7. SUSTAINABILITY AT SHELL 
95,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(162.45999145507812, 37.29279708862305, 261.927001953125, 60.914794921875)",6,OUR CORE VALUES ACHIEVING NET-ZERO EMISSIONS 
96,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(296.37799072265625, 37.29279708862305, 470.84991455078125, 60.914794921875)",7,RESPECTING NATURE POWERING LIVES GENERATING SHAREHOLDER VALUE 
97,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(497.25494384765625, 37.29279708862305, 539.9509887695312, 60.914794921875)",3,OUR PERFORMANCE DATA 
98,page 5 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69293212890625, 764.6267700195312, 225.89988708496094, 775.9592895507812)",5,03 Shell Sustainability Report 2020 
99,page 6 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 93.59577941894531, 447.13299560546875, 123.45578002929688)",4,OUR APPROACH TO SUSTAINABILITY 
100,page 6 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 130.11578369140625, 294.636962890625, 192.05978393554688)",49,"SUSTAINABILITY AT SHELL Powering Progress is our strategy to accelerate the transition of our business to net-zero emissions, in step with society, purposefully and profitably. It delivers value for our shareholders, customers and wider society, and integrates our long-standing commitment to contribute to sustainable development with our business strategy. "
101,page 6 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 200.56378173828125, 298.49298095703125, 242.05978393554688)",38,"This commitment has been part of the Shell General Business Principles since 1997. These principles, together with our Code of Conduct, apply to the way we do business and to our conduct with the communities where we operate. "
102,page 6 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 250.56378173828125, 296.5570068359375, 282.0597839355469)",31,"We aim to provide more and cleaner energy solutions in a responsible manner – in a way that balances short- and long-term interests, and that integrates economic, environmental and social considerations. "
103,page 6 of ../pdf/shell-sustainability-report-2020.pdf,"(66.61399841308594, 438.2718200683594, 287.4383544921875, 455.59332275390625)",23,We believe the rising standard of living of a growing global population will continue to drive demand for energy for years to come. 
104,page 6 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 470.9208068847656, 298.04498291015625, 532.4168090820312)",57,"Today, we continue to build on these foundations while driving change across the organisation to help society meet its most pressing challenges, including those related to climate change, the environment, diversity and inclusion, and human rights. We seek the views of various groups and individuals about the role of an organisation like Shell in addressing these challenges. "
105,page 6 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 540.9208374023438, 294.0930480957031, 572.4168090820312)",27,"Powering Progress, announced in February 2021, has four main goals in support of our purpose – to power progress together by providing more and cleaner energy solutions: "
106,page 6 of ../pdf/shell-sustainability-report-2020.pdf,"(57.270999908447266, 580.9208374023438, 288.86102294921875, 602.4168090820312)",14,▪ Generating shareholder value: growing value through a dynamic portfolio and disciplined capital allocation; 
107,page 6 of ../pdf/shell-sustainability-report-2020.pdf,"(57.270999908447266, 603.9208374023438, 294.7249755859375, 635.4168090820312)",22,▪ Achieving net-zero emissions in step with society: working with our customers and other sectors to accelerate the transition to net-zero emissions; 
108,page 6 of ../pdf/shell-sustainability-report-2020.pdf,"(57.270999908447266, 636.9208374023438, 291.48504638671875, 658.4168090820312)",17,"▪ Powering lives: powering lives through our products and activities, and by supporting an inclusive society; and "
